protein,degree,strength,clustering,ego_nodes,ego_edges,local_density,complex_membership_count,protein_in_any_complex
IGSF5,3,0.0,0.0,4,4,0.6666666666666666,0,0
IGSF6,7,1.739666666667,0.01485670298993273,8,8,0.2857142857142857,0,0
IGSF8,194,87.7266666666643,0.05934450466873844,195,2382,0.12593180015860428,0,0
IGSF9,2,0.0,0.0,3,2,0.6666666666666666,0,0
IGSF9B,2,0.0,0.0,3,3,1.0,0,0
IHH,1,0.420666666667,0.0,2,1,1.0,0,0
IK,90,48.33866666666601,0.110602300255491,91,918,0.22417582417582418,1,1
IKBIP,74,32.111333333334905,0.015862231796580698,75,186,0.06702702702702702,0,0
IKBKAP,93,0.0,0.0,94,577,0.13200640585678333,4,1
IKBKB,149,80.31900000000203,0.05304680213100116,150,1165,0.10425055928411633,14,1
IKBKE,76,39.446333333332,0.06993856643396379,77,430,0.1469583048530417,2,1
IKBKG,342,182.2073333333395,0.01958116462064688,343,2357,0.04018549775800044,15,1
IKZF1,129,68.05899999999902,0.03261222664028064,130,586,0.06988670244484198,0,0
IKZF2,17,5.198666666667001,0.15810053825625472,18,73,0.477124183006536,0,0
IKZF3,121,64.75300000000199,0.0291224442588839,122,527,0.0713995393578106,0,0
IKZF4,14,8.146666666664999,0.2605620002031823,15,54,0.5142857142857142,1,1
IKZF5,54,18.187999999999,0.01749439682731417,55,126,0.08484848484848485,0,0
IL10,2,0.9216666666669999,0.0,3,2,0.6666666666666666,1,1
IL10RA,4,2.223666666667,0.0,5,4,0.4,2,1
IL10RB,2,1.383,0.0,3,2,0.6666666666666666,1,1
IL11,4,1.790999999999,0.09355836307609161,5,5,0.5,0,0
IL12A,8,4.061000000000001,0.0,9,8,0.2222222222222222,3,1
IL12B,3,2.2560000000000002,0.0,4,3,0.5,4,1
IL12RB1,18,5.514333333333701,0.01824088218165758,19,29,0.1695906432748538,3,1
IL12RB2,4,1.929333333334,0.07392847755922362,5,5,0.5,4,1
IL13RA1,7,3.4916666666659997,0.0,8,7,0.25,1,1
IL13RA2,106,33.16733333333059,0.0063828070833618295,107,198,0.03491447716452125,0,0
IL15,4,2.514666666666,0.1069905558440211,5,5,0.5,1,1
IL15RA,8,3.0446666666660005,0.019103831312709523,9,9,0.25,0,0
IL16,26,10.413666666669702,0.024350597825077657,27,51,0.1452991452991453,0,0
IL17A,9,4.5949999999990006,0.05262756975945041,10,12,0.26666666666666666,0,0
IL17B,2,0.16466666666629998,0.0,3,2,0.6666666666666666,0,0
IL17F,2,0.815666666666,0.0,3,2,0.6666666666666666,0,0
IL17RA,71,22.1923333333343,0.008790239230381192,72,125,0.04890453834115806,0,0
IL17RB,27,7.049666666663999,0.0,28,27,0.07142857142857142,0,0
IL17RC,46,15.044666666669402,0.0013748667452765928,47,49,0.045328399629972246,0,0
IL17RD,7,2.530333333333,0.028885469457115048,8,9,0.32142857142857145,0,0
IL17RE,9,3.2133333333340004,0.012237812978055042,10,11,0.24444444444444444,0,0
IL17REL,1,0.0,0.0,2,1,1.0,0,0
IL18,11,4.198333333332001,0.017192689109114947,12,14,0.21212121212121213,0,0
IL18BP,1,0.503333333333,0.0,2,1,1.0,0,0
IL18R1,2,0.889666666667,0.0,3,2,0.6666666666666666,0,0
IL18RAP,3,0.6763333333329999,0.10332929974021199,4,4,0.6666666666666666,0,0
IL1A,7,3.3253333333330004,0.01765368484296816,8,8,0.2857142857142857,0,0
IL1B,16,7.929333333330999,0.032879982831580064,17,24,0.17647058823529413,0,0
IL1F10,1,0.240333333333,0.0,2,1,1.0,0,0
IL1R1,26,12.688666666667,0.06287136116342845,27,64,0.18233618233618235,0,0
IL1R2,40,15.034000000000699,0.02961186636656459,41,84,0.1024390243902439,0,0
IL1RAP,22,6.490666666665,0.037681917861515146,23,44,0.17391304347826086,2,1
IL1RAPL1,4,2.517,0.0,5,4,0.4,0,0
IL1RAPL2,1,0.424666666667,0.0,2,1,1.0,0,0
IL1RL1,8,5.079,0.1698851684159806,9,15,0.4166666666666667,1,1
IL1RL2,11,2.6856666666650004,0.01675164219671864,12,14,0.21212121212121213,0,0
IL1RN,13,5.173333333333,0.029507814020970222,14,18,0.1978021978021978,0,0
IL2,2,1.293,0.0,3,2,0.6666666666666666,1,1
IL20RA,30,19.216333333333,0.011917368886701947,31,37,0.07956989247311828,0,0
IL20RB,17,9.909999999998,0.019528099806796772,18,22,0.1437908496732026,0,0
IL21,4,1.060999999999,0.0,5,4,0.4,0,0
IL21R,2,0.504333333333,0.0,3,2,0.6666666666666666,0,0
IL22,3,1.695999999999,0.0,4,3,0.5,0,0
IL22RA1,3,1.293666666667,0.0,4,3,0.5,0,0
IL22RA2,2,0.6956666666663001,0.0,3,2,0.6666666666666666,0,0
IL23A,7,3.357666666666,0.030925123644663197,8,8,0.2857142857142857,0,0
IL23R,3,1.827333333334,0.2164758655126424,4,4,0.6666666666666666,0,0
IL24,25,16.052333333332005,0.03789683121797612,26,43,0.13230769230769232,0,0
IL25,2,0.624666666667,0.0,3,2,0.6666666666666666,0,0
IL26,1,0.592,0.0,2,1,1.0,0,0
IL27,2,1.072,0.5576473841406149,3,3,1.0,0,0
IL27RA,30,8.6153333333326,0.012223187570387838,31,47,0.1010752688172043,0,0
IL2RA,3,1.516666666667,0.0,4,3,0.5,1,1
IL2RB,23,12.466000000003001,0.13734009626993512,24,86,0.3115942028985507,1,1
IL2RG,23,12.292666666667,0.05931216671419429,24,49,0.17753623188405798,1,1
IL3,3,1.216999999999,0.0,4,3,0.5,0,0
IL31RA,23,6.4323333333313,0.0,24,23,0.08333333333333333,0,0
IL32,14,7.6769999999989995,0.04335633065779078,15,21,0.2,0,0
IL33,7,3.082333333333,0.040349078342379115,8,9,0.32142857142857145,0,0
IL34,2,0.766333333334,0.0,3,2,0.6666666666666666,0,0
IL36A,11,3.089000000001,0.016095589676113697,12,13,0.19696969696969696,0,0
IL36B,1,0.332333333333,0.0,2,1,1.0,0,0
IL36G,7,0.918000000001,0.041933443608122865,8,10,0.35714285714285715,0,0
IL36RN,15,6.538666666666,0.01634884756698526,16,20,0.16666666666666666,0,0
IL37,9,3.3923333333329992,0.0,10,9,0.2,0,0
