subgraph_id,source,label,num_nodes,num_edges,density,mean_degree,mean_strength,mean_clustering,num_connected_components,ph_num_nodes_used,ph_dim0_count,ph_dim0_finite_count,ph_dim0_mean_lifetime,ph_dim0_max_lifetime,ph_dim0_total_persistence,ph_dim1_count,ph_dim1_finite_count,ph_dim1_mean_lifetime,ph_dim1_max_lifetime,ph_dim1_total_persistence,ph_dim2_count,ph_dim2_finite_count,ph_dim2_mean_lifetime,ph_dim2_max_lifetime,ph_dim2_total_persistence,ph_dim1_landscape_l1,ph_dim1_landscape_max,distance_matrix_mean,distance_matrix_std,complex_group,size_bin,match_score,target_density,target_mean_degree,target_mean_strength
real_complex_50,real_complex,1,6.0,15.0,1.0,5.0,3.8338888888889993,0.8850812073520659,1.0,6,6.0,5.0,0.18686666786670686,0.2523333430290222,0.9343333393335342,1.0,1.0,0.00033333897590637207,0.00033333897590637207,0.00033333897590637207,0.0,0.0,0.0,0.0,0.0,0.011901998777381996,0.00023337252504670043,0.19435185185183332,0.09629740918154621,group_50,medium,,,,
real_complex_51,real_complex,1,4.0,1.0,0.16666666666666666,0.5,0.3313333333335,0.0,3.0,4,4.0,3.0,0.7791111071904501,1.0,2.33733332157135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6671666666666249,0.44058241125939035,group_51,small,,,,
real_complex_52,real_complex,1,5.0,7.0,0.7,2.8,2.3806666666668,0.6141235885722229,1.0,5,5.0,4.0,0.13699999917298555,0.28166666626930237,0.5479999966919422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32386666666664,0.3910088035383161,group_52,medium,,,,
real_complex_53,real_complex,1,3.0,3.0,1.0,2.0,1.058,0.8992002082914263,1.0,3,3.0,2.0,0.4423333406448364,0.47066667675971985,0.8846666812896729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.2252787025600777,group_53,small,,,,
real_complex_54,real_complex,1,9.0,18.0,0.5,4.0,2.885259259259333,0.36861593148849836,1.0,9,9.0,8.0,0.2090000007301569,0.515666663646698,1.6720000058412552,2.0,2.0,0.00833333283662796,0.011666655540466309,0.01666666567325592,0.0,0.0,0.0,0.0,0.0,0.02067643787312877,0.007757171701756213,0.5683045267489629,0.4109290794782778,group_54,large,,,,
real_complex_55,real_complex,1,10.0,38.0,0.8444444444444444,7.6,5.2963999999996,0.6656366376042322,1.0,10,10.0,9.0,0.21062962917817962,0.4090000092983246,1.8956666626036167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37036000000003994,0.29772661464277056,group_55,large,,,,
real_complex_56,real_complex,1,9.0,35.0,0.9722222222222222,7.777777777777778,5.649407407406667,0.7617813152682831,1.0,9,9.0,8.0,0.20279166847467422,0.2746666669845581,1.6223333477973938,2.0,2.0,0.00833333283662796,0.015000000596046448,0.01666666567325592,0.0,0.0,0.0,0.0,0.0,0.1018233721075906,0.010058185364289181,0.2611769547325926,0.1568872983378508,group_56,large,,,,
real_complex_57,real_complex,1,3.0,1.0,0.3333333333333333,0.6666666666666666,0.5195555555553334,0.0,2.0,3,3.0,2.0,0.6103333309292793,1.0,1.2206666618585587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934814814815555,0.46015357369623794,group_57,small,,,,
real_complex_58,real_complex,1,7.0,14.0,0.6666666666666666,4.0,3.360380952381429,0.707882886798567,1.0,7,6.0,5.0,0.1743333324790001,0.3623333275318146,0.8716666623950005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37708843537408165,0.4144702313533069,group_58,medium,,,,
real_complex_59,real_complex,1,5.0,9.0,0.9,3.6,2.7442666666664004,0.756717116940995,1.0,5,5.0,4.0,0.17375000193715096,0.3790000081062317,0.6950000077486038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25114666666672003,0.2712785871059618,group_59,medium,,,,
